URL,TTL,Message
1905.com,1,timed out
1905.com,2,timed out
1905.com,3,timed out
1905.com,4,timed out
1905.com,5,timed out
1905.com,6,timed out
1905.com,7,timed out
1905.com,8,timed out
1905.com,9,timed out
1905.com,10,timed out
1905.com,11,timed out
1905.com,12,timed out
1905.com,13,timed out
1905.com,14,timed out
1905.com,15,timed out
1905.com,16,"HTTP/1.1 403 Forbidden
Content-Type: text/html; charset=utf-8
Server: ADM/2.1.1
Connection: close
Content-Length: 322

您的域名被屏蔽访问的原因：</br>
1、未取得工信部网站备案号，按照工信部33号令屏蔽访问。请您办理工信部网站备案，取得网站备案号后恢复访问。</br>
2、网站内含违法信息，按照《网络安全法》屏蔽访问，请您检查按网站清理违法信息。syq"
1905.com,17,"HTTP/1.1 403 Forbidden
Server: nginx/1.12.2
Date: Sun, 19 Jan 2020 03:26:47 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive

23b
<html>
<head><title>403 Forbidden</title></head>
<body bgcolor=""white"">
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.12.2</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
1905.com,18,"HTTP/1.1 403 Forbidden
Server: nginx/1.12.2
Date: Sun, 19 Jan 2020 03:26:47 GMT
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Connection: keep-alive

23b
<html>
<head><title>403 Forbidden</title></head>
<body bgcolor=""white"">
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.12.2</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->

0

"
