URL,TTL,Message
molgvardia.ru,11,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:09:56 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,12,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:09:57 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
  <link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css"" media=""all"" />
<link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_WqV69UA1faoRQbJdtSwGwUJ8MK7FrjmmaCOY4qeUK-c.css"" media=""all"" />
<link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_x-4-Xf0e_U-zI1JYvlZaiGqnjewZJvkgGNe9fHC57E4.css"" media=""all"" />
<link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_96AJf5O-U6Zzr0ELK7WHiZAj9Si1sId99lgcUiLBVBE.css"" media=""all"" />
<link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_7-_17B8hNaqw-PTcy6bvuE-dzINLzJaIBVAgugXY7b8.css"" media=""all"" />
  <script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/modules/jquery_update/replace/jquery/1.7/jquery.min.js?v=1.7.2""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/misc/jquery.once.js?v=1.2""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/misc/drupal.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/libraries/slick/slick/slick.min.js?v=1.x""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/modules/scroll_to_destination_anchors/scroll_to_destination_anchors.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.i"
molgvardia.ru,13,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:09:58 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,14,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:09:59 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,15,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:10:00 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
  <link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css"" media=""all"" />
<link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_WqV69UA1faoRQbJdtSwGwUJ8MK7FrjmmaCOY4qeUK-c.css"" media=""all"" />
<link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_x-4-Xf0e_U-zI1JYvlZaiGqnjewZJvkgGNe9fHC57E4.css"" media=""all"" />
<link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_96AJf5O-U6Zzr0ELK7WHiZAj9Si1sId99lgcUiLBVBE.css"" media=""all"" />
<link type=""text/css"" rel=""stylesheet"" href=""http://ojaloberoi.in/sites/default/files/css/css_7-_17B8hNaqw-PTcy6bvuE-dzINLzJaIBVAgugXY7b8.css"" media=""all"" />
  <script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/modules/jquery_update/replace/jquery/1.7/jquery.min.js?v=1.7.2""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/misc/jquery.once.js?v=1.2""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/misc/drupal.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/libraries/slick/slick/slick.min.js?v=1.x""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/modules/scroll_to_destination_anchors/scroll_to_destination_anchors.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/default/files/languages/ru_UNJB-gTL-BVifRIsV1Wc8CI8eJCVIgS0d0GUB8Dio34.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/libraries/colorbox/jquery.colorbox-min.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/modules/colorbox/js/colorbox.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/modules/colorbox/styles/default/colorbox_style.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/modules/slick/js/slick.load.min.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/libraries/superfish/jquery.hoverIntent.minified.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/libraries/superfish/supposition.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/libraries/superfish/superfish.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/libraries/superfish/supersubs.js?prl7bk""></script>
<script type=""text/javascript"" src=""http://ojaloberoi.in/sites/all/modules/superfish/superfish.js?prl7bk""></s"
molgvardia.ru,16,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:10:02 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,17,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:10:03 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,18,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:10:04 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,19,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:10:05 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,20,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:10:06 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,21,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:10:07 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,22,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:10:08 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
molgvardia.ru,23,"HTTP/1.1 200 OK
Date: Thu, 23 Jan 2020 05:10:10 GMT
Server: Apache/2.4.10 (Debian)
Expires: Sun, 19 Nov 1978 05:00:00 GMT
Cache-Control: no-cache, must-revalidate
X-Content-Type-Options: nosniff
Content-Language: ru
X-Frame-Options: SAMEORIGIN
X-Generator: Drupal 7 (http://drupal.org)
Vary: Accept-Encoding
Connection: close
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

16650
<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML+RDFa 1.0//EN""
  ""http://www.w3.org/MarkUp/DTD/xhtml-rdfa-1.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ru"" version=""XHTML+RDFa 1.0"" dir=""ltr""
  xmlns:content=""http://purl.org/rss/1.0/modules/content/""
  xmlns:dc=""http://purl.org/dc/terms/""
  xmlns:foaf=""http://xmlns.com/foaf/0.1/""
  xmlns:og=""http://ogp.me/ns#""
  xmlns:rdfs=""http://www.w3.org/2000/01/rdf-schema#""
  xmlns:sioc=""http://rdfs.org/sioc/ns#""
  xmlns:sioct=""http://rdfs.org/sioc/types#""
  xmlns:skos=""http://www.w3.org/2004/02/skos/core#""
  xmlns:xsd=""http://www.w3.org/2001/XMLSchema#"">

<head profile=""http://www.w3.org/1999/xhtml/vocab"">
  <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<link rel=""shortcut icon"" href=""http://ojaloberoi.in/favicon.ico"" type=""image/vnd.microsoft.icon"" />
<meta name=""Generator"" content=""Drupal 7 (http://drupal.org)"" />
  <title>Молодая Гвардия</title>
  <meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
 "
