URL,TTL,Message
stoyakin.org.ua,11,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,12,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,13,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p"
stoyakin.org.ua,14,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,15,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,16,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,17,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,18,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,19,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,20,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,21,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,22,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,23,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
stoyakin.org.ua,24,"HTTP/1.1 200 OK
Server: nginx/1.6.2
Date: Thu, 23 Jan 2020 04:43:42 GMT
Content-Type: text/html
Content-Length: 1937
Connection: keep-alive
Vary: Accept-Encoding
Last-Modified: Thu, 29 Sep 2016 14:48:02 GMT
ETag: ""f24b-791-53da6908b8339""
Accept-Ranges: bytes

<html>

<head>

	<meta name=""copyright"" content="""" />

	<title>Ошибка 404: Страница к которой Вы обращаетесь не существует</title>
	<meta name=""description""  content=""Ошибка 404: Страница к которой Вы обращаетесь не существует"">

	<meta name=""robots"" content=""index, follow"">


	<meta http-equiv=""Content-Type"" content=""text/html; charset=windows-1251"">

	<meta http-equiv=""Content-Style-Type"" content=""text/css"" />



	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/default.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/rus.css"");</style>
	<style type=""text/css"" media=""all"">@import url(""/__errorpages__/styles1/errorpages.css"");</style>


</head>



<body>

	
  <center>
				<table cellspacing=""0"" cellpadding=""0"" border=""0"" class=""descriptionTable"" style='padding-top: 100px'>	
					<tr>
						<td><img src='/__errorpages__/images/error.png'></td>			
						<td>
                                                            <div style='height:50px'></div>
								<h1 class=errorCode>Ошибка 404</h1>
								<b>Страница к которой Вы обращаетесь не существует</b>
								<div class=colorLine></div>
								<p>Если Вы уверены что это ошибка, Вам следует обратиться к владельцу сайта. В письме не забудьте указать адрес страницы на которой возникла ошибка.</p>
								<p>Если вы являетесь владельцем сайта:</p>
								<ul >
								<li>попробуйте перезагрузить страницу, возможно это случайность</li>
								<li>убедитесь что запрашиваемая страница действительно расположена на FTP</li>
								<li>если Вы используете mod_rewrite, проверьте правильность выражений и посмотрите логи ошибок</li>
								<li>если все описанное выше не помогло свяжитесь со службой технической подержки, в запросе не забудьте указать адрес страницы на которой у Вас возникла проблема.</li>
								</ul>								
						</td>									
					</tr>

				</table>
</center>


</body>

</html>"
