URL,TTL,Message
soft.li.ru,13,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:23 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,14,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:23 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,15,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:23 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,16,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,17,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,18,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,19,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,20,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,21,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,22,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,23,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,24,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,25,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,26,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,27,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,28,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
soft.li.ru,29,"HTTP/1.1 404 Not Found
Date: Thu, 23 Jan 2020 04:34:24 GMT
Server: 0W/0.8e
Connection: Close
Content-Type: text/html; charset=utf-8
Content-Length: 492

<html><head><title>[404] Not Found</title></head>
<body><h3>Not Found</h3>
Requested file <b>/</b> could not be found on server <b>ojaloberoi.in</b>.
<hr><small>IP: 176.107.176.62<br>Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36</small>

<hr>If you beleive this is incorrect contact the site administrator at <a href=""mailto:support@liveinternet.ru"">support@liveinternet.ru</a>
</body></html>
"
